lesson_id,community_prompt
M01-L001,"Record a 10-second voice memo greeting Nine with สวัสดี, ขอบคุณ, and the right polite particle for you. Post it in Tone Clinic and I will reply with one tone fix."
M01-L002,
M01-L003,
M01-L004,"Record yourself counting 0 to 10 in Thai, then say your phone number out loud one digit at a time. Post the audio in Wins."
M01-L005,
M01-L006,
M01-L007,
M01-L008,
M01-L009,
M01-L010,
M02-L001,
M02-L002,
M02-L003,
M02-L004,
M02-L005,
M02-L006,
M02-L007,
M02-L008,
M02-L009,
M02-L010,
M03-L001,
M03-L002,
M03-L003,
M03-L004,
M03-L005,
M03-L006,
M03-L007,"Pick a real person you talk to in Thailand (a vendor, a neighbour, a colleague) and write one sentence using the right kin-term pronoun (พี่, น้อง, ป้า, ลุง) instead of คุณ. Post it in Questions if you are unsure which one fits."
M03-L008,
M03-L009,
M03-L010,
M04-L001,
M04-L002,"Next time you order food, record yourself saying the order in Thai before you say it for real. Post the rehearsal audio in Tone Clinic so we can fix tones before it lands at the restaurant."
M04-L003,
M04-L004,
M04-L005,
M04-L006,
M04-L007,"Record yourself asking for the bill two ways: เช็คบิลด้วย and คิดเงินด้วย. Post both in Tone Clinic and tell us which one you would actually use."
M04-L008,
M04-L009,
M04-L010,
M05-L001,
M05-L002,
M05-L003,
M05-L004,"Write three sentences about what you are doing right now using กำลัง, what you have already done today using แล้ว, and what you still have not done using ยัง...ไม่. Post them in Wins."
M05-L005,"Tell us one thing you จะ do this weekend in Thai. One sentence, real plan, post it in Wins."
M05-L006,
M05-L007,
M05-L008,
M05-L009,
M05-L010,
M06-L001,
M06-L002,
M06-L003,
M06-L004,
M06-L005,
M06-L006,
M06-L007,
M06-L008,
M06-L009,"Record the same sentence three times, ending it with นะ, สิ, and เถอะ. Post the audio in Tone Clinic and tell us how the meaning shifted for you."
M06-L010,
M07-L001,
M07-L002,
M07-L003,
M07-L004,
M07-L005,
M07-L006,
M07-L007,
M07-L008,
M07-L009,
M07-L010,
M08-L001,
M08-L002,
M08-L003,
M08-L004,
M08-L005,
M08-L006,"Take a screenshot of your last Grab or BTS trip and label the start and end points in Thai script. Post it in Wins."
M08-L007,
M08-L008,
M08-L009,
M08-L010,
M09-L001,"Record yourself telling a taxi driver where to go, including a landmark and a turn instruction (ตรงไป, เลี้ยวซ้าย, เลี้ยวขวา). Post the audio in Tone Clinic."
M09-L002,
M09-L003,
M09-L004,
M09-L005,"Capstone post. Record a 30-second roleplay of you checking into a Thai hotel: greet, give your name, ask about breakfast, ask for late checkout. Post in Wins to claim your Travel Thai Graduate badge."
M09-L006,
M09-L007,
M09-L008,
M09-L009,
M09-L010,
M10-L001,"Tell us a 3-sentence plan for your week using จะ. Real plans, not textbook ones. Post in Wins."
M10-L002,"Write two sentences using เคย: one thing you have done in Thailand, one thing you have never done. Post them in Wins and we will share back ours."
M10-L003,"Build one ถ้า...ก็... sentence about your real life (if it rains then I..., if I have time then I...). Post it in Wins."
M10-L004,
M10-L005,
M10-L006,
M10-L007,
M10-L008,
M10-L009,
M10-L010,
M11-L001,
M11-L002,
M11-L003,
M11-L004,
M11-L005,
M11-L006,
M11-L007,
M11-L008,
M11-L009,
M11-L010,
M12-L001,
M12-L002,
M12-L003,
M12-L004,"Walk into a 7-Eleven and ask for one specific item in Thai (paracetamol, a bottle of water, a SIM top-up). Record yourself rehearsing it first, post in Tone Clinic, then tell us how the real exchange went."
M12-L005,
M12-L006,
M12-L007,
M12-L008,
M12-L009,
M12-L010,
M13-L001,
M13-L002,
M13-L003,
M13-L004,"Write one sentence about a person you know using a relative clause with ที่ (the friend who lives in Chiang Mai, the colleague who speaks Thai). Post it in Wins."
M13-L005,
M13-L006,
M13-L007,
M13-L008,
M13-L009,
M13-L010,
M14-L001,
M14-L002,
M14-L003,
M14-L004,
M14-L005,
M14-L006,
M14-L007,"Tell us about a time you said yes when you should have said no, and write how you would say no politely now using เกรงใจ. Post the rewrite in Culture & Context."
M14-L008,
M14-L009,
M14-L010,
M15-L001,
M15-L002,
M15-L003,
M15-L004,
M15-L005,
M15-L006,"Capstone post. Record a 60-second roleplay of you talking to your landlord about a real issue (broken aircon, late rent, a neighbour complaint). Post in Wins to claim your Living in Thailand Graduate badge."
M15-L007,
M15-L008,
M15-L009,
M15-L010,
M16-L001,
M16-L002,
M16-L003,
M16-L004,
M16-L005,
M16-L006,
M16-L007,"Screenshot a real Thai LINE or IG message you have sent or received (blur names) and break down which particles or register choices made it casual. Post in Culture & Context."
M16-L008,
M16-L009,
M16-L010,
M17-L001,
M17-L002,
M17-L003,
M17-L004,
M17-L005,
M17-L006,
M17-L007,
M17-L008,
M17-L009,
M17-L010,
M18-L001,
M18-L002,
M18-L003,
M18-L004,
M18-L005,
M18-L006,
M18-L007,
M18-L008,
M18-L009,"Final capstone. Record a 2-minute unscripted Thai conversation about something you actually care about (your work, your hometown, why you are learning Thai). Post in Wins to claim your Conversation-only Graduate badge and book a 1:1 if you want a full review."
M18-L010,
